,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct
0,109123,lh,POS,1861.0,1314.0,2852.0,2.538,0.409,0.106,0.017,9.0,1.4,0.6574839353561401,1.6273223161697388,0.35955026745796204,0.5076274871826172
0,109123,lh,prculs,1088.0,778.0,1656.0,2.361,0.285,0.097,0.019,5.0,0.9,0.27182066440582275,1.0117183923721313,0.1486472487449646,0.47225221991539
0,109123,lh,prcus1,31.0,27.0,83.0,2.52,0.269,0.068,0.008,0.0,0.0,-0.32926076650619507,-0.28531646728515625,-0.1800588220357895,0.5039246678352356
0,109123,lh,prcus2,364.0,256.0,609.0,2.406,0.297,0.098,0.013,2.0,0.2,0.14601436257362366,0.7618423104286194,0.07984909415245056,0.48124903440475464
0,109123,lh,prcus3,21.0,15.0,34.0,2.95,0.259,0.085,0.018,0.0,0.0,0.00763761205598712,0.19239509105682373,0.004176687449216843,0.589970588684082
0,109123,lh,MCGS,1251.0,901.0,1905.0,2.351,0.467,0.107,0.018,6.0,1.1,0.43319836258888245,1.3871040344238281,0.23689793050289154,0.47029003500938416
0,109123,lh,sbps,499.0,346.0,877.0,2.788,0.425,0.106,0.02,3.0,0.4,0.29026898741722107,0.8745860457420349,0.15873587131500244,0.5576756596565247
0,109123,lh,2,87.0,68.0,250.0,3.527,0.249,0.148,0.021,1.0,0.1,-0.030580783262848854,0.17096152901649475,-0.01672334223985672,0.7053720355033875
0,109123,lh,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,109123,lh,3,47.0,29.0,107.0,2.944,0.237,0.092,0.015,0.0,0.0,-0.14287304878234863,-0.07769849896430969,-0.07813124358654022,0.5887098908424377
0,109123,lh,x,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,109123,lh,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,109123,lh,isms,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,109123,lh,w,323.0,231.0,521.0,2.38,0.532,0.128,0.026,3.0,0.4,0.27826306223869324,1.010534405708313,0.152170330286026,0.4760701656341553
0,109123,rh,POS,1954.0,1428.0,3010.0,2.482,0.492,0.112,0.017,11.0,1.5,0.7649105787277222,1.5178989171981812,0.4172458350658417,0.4963792562484741
0,109123,rh,prculs,860.0,610.0,1247.0,2.263,0.369,0.097,0.012,4.0,0.4,0.4178568422794342,1.1251089572906494,0.227933868765831,0.45250555872917175
0,109123,rh,prcus1,214.0,160.0,366.0,2.35,0.518,0.15,0.028,2.0,0.3,-0.3964475691318512,-0.11755842715501785,-0.21625551581382751,0.4700284004211426
0,109123,rh,prcus2,608.0,435.0,988.0,2.375,0.346,0.111,0.016,4.0,0.5,0.21489062905311584,0.8197199702262878,0.1172192245721817,0.4749790132045746
