"","sub","label","sulcal_width_mm","hemi"
"279",531536,"prcus_i",1.13554554758131,"lh"
"280",566454,"prcus_i",1.35346803795776,"lh"
"281",585256,"prcus_i",1.19174224222443,"lh"
"282",622236,"prcus_i",1.30248339763748,"lh"
"283",644044,"prcus_i",1.47427802645764,"lh"
"284",679770,"prcus_i",1.20968800692305,"lh"
"285",687163,"prcus_i",1.6612859593167,"lh"
"286",867468,"prcus_i",NA,"lh"
"287",910241,"prcus_i",1.01370911001222,"lh"
"288",959574,"prcus_i",0.938410751673833,"lh"
"289",100206,"prcus_a",0.936842432227927,"lh"
"290",100307,"prcus_a",0.834796696773281,"lh"
"291",100408,"prcus_a",1.46179554965297,"lh"
"292",100610,"prcus_a",1.47990313389767,"lh"
"293",101006,"prcus_a",1.45525693630196,"lh"
"294",101107,"prcus_a",1.48117282026805,"lh"
"295",101309,"prcus_a",1.35816588537199,"lh"
"296",101410,"prcus_a",1.1399636662626,"lh"
"297",101915,"prcus_a",1.51332758863418,"lh"
"298",102008,"prcus_a",1.86549864493385,"lh"
"299",102311,"prcus_a",1.60836751529548,"lh"
"300",102513,"prcus_a",1.70653903674047,"lh"
"301",102816,"prcus_a",0.731023584352008,"lh"
"302",103111,"prcus_a",1.2268224753359,"lh"
"303",103414,"prcus_a",1.05713703138664,"lh"
"304",103515,"prcus_a",1.91260446684872,"lh"
"305",103818,"prcus_a",1.03992990034455,"lh"
"306",104416,"prcus_a",1.53495042093229,"lh"
"307",104820,"prcus_a",0.836241362308584,"lh"
"308",105014,"prcus_a",0.876575445592938,"lh"
"309",105115,"prcus_a",0.94701614119781,"lh"
"310",105216,"prcus_a",0.971026653698723,"lh"
"311",105620,"prcus_a",1.23796017769524,"lh"
"312",106016,"prcus_a",0.66591162750389,"lh"
"313",106319,"prcus_a",NA,"lh"
"314",106521,"prcus_a",0.529270372652249,"lh"
"315",107018,"prcus_a",1.46119925776992,"lh"
"316",107220,"prcus_a",1.2097723766682,"lh"
"317",107321,"prcus_a",1.07409325987025,"lh"
"318",107422,"prcus_a",2.16506758139783,"lh"
"319",107725,"prcus_a",1.46534298312043,"lh"
"320",108121,"prcus_a",1.6215134874291,"lh"
"321",108222,"prcus_a",0.588368089397853,"lh"
"322",108323,"prcus_a",1.35074198583163,"lh"
"323",108525,"prcus_a",1.63427778433079,"lh"
"324",108828,"prcus_a",0.648007925860546,"lh"
"325",109123,"prcus_a",0.345772423549149,"lh"
"326",109325,"prcus_a",0.718682275911208,"lh"
"327",109830,"prcus_a",1.42561908647089,"lh"
"328",110007,"prcus_a",0.923404537821011,"lh"
"329",110411,"prcus_a",0.658765438944989,"lh"
"330",110613,"prcus_a",1.83948334640891,"lh"
"331",112920,"prcus_a",0.958200881213871,"lh"
"332",114924,"prcus_a",0.723470605817441,"lh"
"333",120111,"prcus_a",1.37474341243748,"lh"
"334",128127,"prcus_a",0.539876703056717,"lh"
"335",133928,"prcus_a",1.05790885923888,"lh"
"336",144125,"prcus_a",0.216065888435043,"lh"
"337",146937,"prcus_a",0.83699891011899,"lh"
"338",151425,"prcus_a",1.54822231439391,"lh"
"339",151829,"prcus_a",1.63304232089056,"lh"
"340",164939,"prcus_a",1.29006398993188,"lh"
"341",168240,"prcus_a",NA,"lh"
"342",176744,"prcus_a",1.52107730152406,"lh"
"343",180937,"prcus_a",1.6165776114239,"lh"
"344",185947,"prcus_a",1.23820573891839,"lh"
"345",214019,"prcus_a",0.455081392803574,"lh"
"346",268749,"prcus_a",0.9804276341047,"lh"
"347",365343,"prcus_a",2.04813458405483,"lh"
"348",380036,"prcus_a",1.3085112688854,"lh"
"349",517239,"prcus_a",1.22147855589885,"lh"
"350",522434,"prcus_a",1.29695475733701,"lh"
"351",531536,"prcus_a",1.96117627125073,"lh"
"352",566454,"prcus_a",1.02778070222996,"lh"
"353",585256,"prcus_a",1.41891571971241,"lh"
"354",622236,"prcus_a",1.2996803400998,"lh"
"355",644044,"prcus_a",1.22281237398547,"lh"
"356",679770,"prcus_a",1.18669130196706,"lh"
"357",687163,"prcus_a",1.3774457488767,"lh"
"358",867468,"prcus_a",1.30909988718384,"lh"
"359",910241,"prcus_a",1.6308493488088,"lh"
"360",959574,"prcus_a",1.02977081594165,"lh"
"361",100206,"prculs_d",1.86528388141708,"lh"
"362",100307,"prculs_d",1.41918374248078,"lh"
"363",100408,"prculs_d",1.02619009046463,"lh"
"364",100610,"prculs_d",1.47227563975748,"lh"
"365",101006,"prculs_d",2.0649369927816,"lh"
"366",101107,"prculs_d",1.87101747335127,"lh"
"367",101309,"prculs_d",1.21066890729801,"lh"
"368",101410,"prculs_d",1.34377522100108,"lh"
