,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,pres_abs,sulcal_depth_mm
604,105216,rh,ifrms,0,117,91,381,3.848,0.433,0.14,0.027,1,0.2,-0.0935708433389664,0.0583435520529747,-0.0505429618060589,0.769516706466675,present,0.969494421772021
605,105216,rh,isms,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
606,105216,rh,mcgs,0,1395,985,2021,2.287,0.277,0.087,0.011,5,0.7,0.500878095626831,1.30446219444275,0.270552933216095,0.457469999790192,present,16.1549156142883
607,105216,rh,pos,0,1253,887,2056,2.613,0.584,0.116,0.023,8,1.2,0.779259860515594,1.410400390625,0.420922845602036,0.522661507129669,present,22.2278935233911
608,105216,rh,prculs_d,0,1019,733,1440,2.123,0.287,0.103,0.016,5,0.8,0.310874819755554,0.940742611885071,0.167921274900436,0.424631297588348,present,15.2716271034411
609,105216,rh,prculs_v,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,absent,NA
610,105216,rh,prcus_a,0,413,305,722,2.404,0.295,0.098,0.013,2,0.2,0.106298230588436,0.639245510101318,0.0574177615344524,0.480853050947189,present,9.30495950850588
611,105216,rh,prcus_i,0,411,297,635,2.277,0.262,0.104,0.011,2,0.2,0.404795974493027,1.0522780418396,0.218653470277786,0.455314248800278,present,11.8317935225281
612,105216,rh,prcus_p,0,257,189,531,2.903,0.517,0.119,0.016,2,0.2,-0.15072438120842,0.341018229722977,-0.0814148560166359,0.580582082271576,present,4.54845374106869
613,105216,rh,spls,0,766,532,1275,2.698,0.393,0.119,0.025,5,0.8,0.450683921575546,1.14886081218719,0.243440195918083,0.539507508277893,present,13.2663344565502
