"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","pres_abs","sulcal_depth_mm"
"667","c25","rh","prcus_i",0,195,141,313,2.241,0.65,0.08,0.006,1,0.1,-0.0282605439424515,0.269285082817078,-0.0141497785225511,0.448206186294556,"present",7.61288906020499
"668","c25","rh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"669","c25","rh","spls",0,207,144,515,3.731,1.002,0.09,0.012,1,0.1,0.172999307513237,0.507079005241394,0.0866190493106842,0.746141135692596,"present",6.64348089263775
"670","c25","rh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"671","c25","rh","sspls_v",0,96,78,373,4.33,0.344,0.065,0.011,0,0,-0.313906669616699,-0.207085907459259,-0.157169982790947,0.865934371948242,"present",0.751898720562187
"672","c25","rh","w",0,178,121,310,2.693,0.41,0.058,0.007,0,0.1,0.448056519031525,0.835691332817078,0.224337503314018,0.538532912731171,"present",13.0416198416358
"673","c26","lh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"674","c26","lh","ifrms",0,22,15,63,3.545,0.141,0.036,0.002,0,0,-0.342938631772995,-0.329718619585037,-0.173517003655434,0.708966255187988,"present",1.75569844186257
"675","c26","lh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"676","c26","lh","mcgs",0,1109,746,1580,2.205,0.788,0.078,0.013,4,0.5,0.647156953811646,1.40638434886932,0.327442675828934,0.440962553024292,"present",16.3356323051465
"677","c26","lh","pos",0,1592,1099,2118,2.273,0.799,0.091,0.023,8,1.3,0.469544649124146,1.47578871250153,0.237575948238373,0.454609930515289,"present",18.9385055384997
"678","c26","lh","prculs_d",0,324,229,473,2.006,0.468,0.085,0.01,1,0.1,0.33820366859436,1.0401154756546,0.171121269464493,0.401111751794815,"present",15.0997328733339
"679","c26","lh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"680","c26","lh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"681","c26","lh","prcus_i",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"682","c26","lh","prcus_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"683","c26","lh","spls",0,188,129,463,4.087,0.71,0.095,0.015,1,0.1,-0.137963846325874,-0.0177061557769775,-0.0698057115077972,0.817483305931091,"present",4.44717401799379
"684","c26","lh","sspls_d",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"685","c26","lh","sspls_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"686","c26","lh","w",0,248,162,427,3.07,0.401,0.074,0.008,1,0.1,0.780260622501373,1.27335131168365,0.394789308309555,0.613979816436768,"present",16.3050616001932
"687","c26","rh","icgs_p",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"688","c26","rh","ifrms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"689","c26","rh","isms",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"690","c26","rh","mcgs",0,1254,858,1725,2.22,0.642,0.07,0.008,3,0.4,0.736308932304382,1.54026126861572,0.374247848987579,0.443995475769043,"present",19.2308538506178
"691","c26","rh","pos",0,988,674,1349,2.14,0.739,0.08,0.012,3,0.5,0.542081117630005,1.42672884464264,0.275526583194733,0.428017556667328,"present",16.8488017877163
"692","c26","rh","prculs_d",0,511,354,579,1.686,0.501,0.085,0.011,2,0.2,0.237790703773499,1.16369462013245,0.120863199234009,0.337252706289291,"present",13.2612428729277
"693","c26","rh","prculs_v",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
"694","c26","rh","prcus_a",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"absent",NA
