"","sub","hemi","label","X","vertices","total_surface_area_.mm.2.","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","cortical_thickness_mean_pct","sulcal_depth_mm"
"135","c24","lh","mcgs_sb",0,236,160,359,2.316,0.504,0.094,0.014,1,0.1,0.0261252298951149,0.707121908664703,0.0134178744629025,0.463135987520218,13.4882645295038
"136","c24","rh","mcgs_db",0,1052,710,1069,1.743,0.596,0.081,0.014,4,0.6,0.56032782793045,1.53371429443359,0.27625435590744,0.348670363426208,16.9575449090934
"137","c24","rh","mcgs_mb",0,692,483,930,2.647,0.656,0.084,0.019,3,0.5,0.755632698535919,1.53927886486053,0.372544050216675,0.529321670532227,16.1701855716055
"138","c24","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","c25","lh","mcgs_db",0,344,241,574,2.427,0.528,0.063,0.007,1,0.1,0.234339654445648,0.868553519248962,0.123099327087402,0.485415518283844,14.3069129619908
"140","c25","lh","mcgs_mb",0,961,666,1449,2.351,0.596,0.07,0.007,2,0.3,0.746055126190186,1.47669768333435,0.391905099153519,0.470195472240448,17.468515502999
"141","c25","lh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","c25","rh","mcgs_db",0,428,288,526,1.843,0.629,0.071,0.008,1,0.1,0.369433134794235,1.24022054672241,0.184971570968628,0.368677645921707,14.3904802489953
"143","c25","rh","mcgs_mb",0,795,578,1126,2.044,0.575,0.083,0.009,3,0.3,0.584535121917725,1.47025442123413,0.292671054601669,0.408744007349014,16.7334790101046
"144","c25","rh","mcgs_sb",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","c26","lh","mcgs_db",0,126,88,188,2.054,0.4,0.092,0.013,0,0.1,-0.0116161769255996,0.459204882383347,-0.00587745103985071,0.410704046487808,11.6674391869457
"146","c26","lh","mcgs_mb",0,897,598,1144,2.078,0.648,0.077,0.013,3,0.4,0.786383807659149,1.40638434886932,0.39788743853569,0.415600657463074,16.3356323051465
"147","c26","lh","mcgs_sb",0,86,60,248,3.749,0.891,0.063,0.012,0,0,0.160167530179024,0.551352143287659,0.0810401290655136,0.749824941158295,12.1379341003541
"148","c26","rh","mcgs_db",0,541,371,790,2.481,0.566,0.076,0.01,2,0.2,0.641459703445435,1.50305926799774,0.326038271188736,0.496100753545761,19.7689379801026
"149","c26","rh","mcgs_mb",0,714,488,937,2.025,0.63,0.065,0.007,1,0.3,0.808091044425964,1.54026126861572,0.410732924938202,0.404997766017914,18.6586904161955
"150","c26","rh","mcgs_sb",0,232,166,604,3.166,1.027,0.077,0.02,1,0.1,0.131142348051071,0.634437263011932,0.0666564628481865,0.633130669593811,10.5510616449994
"151","c27","lh","mcgs_db",0,293,189,253,1.417,0.309,0.071,0.008,1,0.1,0.407838553190231,1.2437527179718,0.209904193878174,0.283360242843628,18.79686695918
