,sub,hemi,label,X,vertices,total_surface_area_.mm.2.,total_gray_matter_volume_.mm.3.,cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,cortical_thickness_mean_pct,sulcal_depth_mm
308,164939,lh,mcgs_mb,0,626,460,845,1.954,0.381,0.121,0.021,4,0.7,0.454083561897278,0.928987622261047,0.21892186999321,0.390776634216309,13.0473549143655
309,164939,lh,mcgs_sb,0,32,25,86,2.73,0.316,0.189,0.03,1,0,0.350615203380585,0.622223079204559,0.169037908315659,0.545905590057373,7.73505974908672
310,164939,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,164939,rh,mcgs_mb,0,995,722,1378,2.062,0.395,0.103,0.015,5,0.7,0.469940513372421,1.22007644176483,0.224825263023376,0.412417411804199,12.5998428100109
312,164939,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,168240,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,168240,lh,mcgs_mb,0,618,453,837,2.044,0.378,0.103,0.017,3,0.5,0.400468587875366,1.14525520801544,0.231859773397446,0.408820450305939,15.7017971002689
315,168240,lh,mcgs_sb,0,195,136,331,2.444,0.348,0.131,0.026,1,0.3,0.340168029069901,0.590573966503143,0.196947485208511,0.488807171583176,9.11859750252431
316,168240,rh,mcgs_db,0,142,103,235,2.288,0.302,0.096,0.015,0,0.1,0.246676102280617,0.672294437885284,0.133847266435623,0.45755672454834,8.00677904690398
317,168240,rh,mcgs_mb,0,679,476,891,2.121,0.333,0.09,0.014,3,0.4,0.599645495414734,1.3288049697876,0.325369596481323,0.424153357744217,16.4137764282113
318,168240,rh,mcgs_sb,0,41,30,102,2.692,0.416,0.126,0.045,0,0.1,0.474241197109222,0.64026939868927,0.25732484459877,0.538417100906372,9.18606018090168
319,176744,lh,mcgs_db,0,721,507,970,2.129,0.343,0.105,0.016,4,0.6,0.558035016059875,1.1295759677887,0.313702791929245,0.425795823335648,14.5773904742931
320,176744,lh,mcgs_mb,0,649,454,905,2.172,0.377,0.107,0.022,3,0.7,0.586929678916931,1.13614153862,0.329946100711823,0.434435933828354,14.6481640869299
321,176744,lh,mcgs_sb,0,188,137,304,2.427,0.282,0.131,0.023,1,0.2,0.567722618579865,1.06335806846619,0.319148778915405,0.485454529523849,12.4841585902958
322,176744,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,176744,rh,mcgs_mb,0,956,677,1342,2.207,0.349,0.096,0.015,4,0.7,0.506391942501068,1.17259800434113,0.281032413244247,0.441419064998627,15.6205907380792
324,176744,rh,mcgs_sb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,180937,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,180937,lh,mcgs_mb,0,1292,935,1717,1.889,0.397,0.096,0.014,5,0.8,0.487892597913742,1.33761751651764,0.269260227680206,0.377808570861816,16.7957924187517
327,180937,lh,mcgs_sb,0,36,34,78,1.943,0.22,0.158,0.017,0,0,0.441775172948837,0.691962838172913,0.243808776140213,0.388540923595428,9.84386198659205
328,180937,rh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,180937,rh,mcgs_mb,0,745,563,999,1.871,0.304,0.1,0.014,3,0.5,0.29400709271431,1.16312074661255,0.156951501965523,0.374284386634827,12.8998572873221
330,180937,rh,mcgs_sb,0,41,30,83,2.044,0.481,0.133,0.018,0,0,0.489426016807556,0.683137536048889,0.261273115873337,0.408710330724716,7.39483414469787
331,185947,lh,mcgs_db,0,139,101,224,2.075,0.251,0.104,0.011,1,0.1,0.0873644575476646,0.539941728115082,0.0527675561606884,0.415033429861069,8.46583524070103
332,185947,lh,mcgs_mb,0,706,503,914,2.115,0.366,0.102,0.013,3,0.5,0.561596751213074,1.26326262950897,0.339200675487518,0.422993212938309,15.1035490861619
333,185947,lh,mcgs_sb,0,93,70,202,2.441,0.266,0.101,0.024,1,0,0.437669903039932,0.822041809558868,0.264349728822708,0.488184869289398,12.9784117707718
334,185947,rh,mcgs_db,0,236,178,384,2.143,0.354,0.094,0.014,1,0.1,0.0595539137721062,0.504593193531036,0.0333372540771961,0.428559571504593,8.49110367158077
335,185947,rh,mcgs_mb,0,943,678,1351,2.301,0.423,0.103,0.016,5,0.7,0.564823627471924,1.13836693763733,0.316178470849991,0.460137844085693,12.7589653557862
336,185947,rh,mcgs_sb,0,90,72,221,2.711,0.277,0.177,0.044,1,0.2,0.152766287326813,0.40642437338829,0.0855159237980843,0.542248427867889,6.60536330531058
337,214019,lh,mcgs_db,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,214019,lh,mcgs_mb,0,891,629,1246,2.13,0.261,0.091,0.011,3,0.5,0.458170592784882,1.23631846904755,0.273039549589157,0.426018059253693,15.4900430710727
339,214019,lh,mcgs_sb,0,21,18,57,2.648,0.118,0.124,0.026,0,0,0.614410877227783,0.745960295200348,0.366148561239243,0.529574751853943,9.86325731759485
340,214019,rh,mcgs_db,0,134,98,239,2.332,0.313,0.104,0.012,1,0.1,0.0101489340886474,0.518353164196014,0.00540470378473401,0.466387271881104,5.55547814143072
341,214019,rh,mcgs_mb,0,747,544,1038,2.154,0.362,0.105,0.016,4,0.5,0.460608065128326,1.18229687213898,0.24529179930687,0.430768519639969,12.5204428594929
